,0
1138,North America
1139,North America
1140,North America
1141,North America
1142,North America
1143,North America
1144,North America
1145,North America
1146,North America
1147,North America
1148,North America
1149,North America
1150,North America
1151,North America
1152,North America
1153,North America
1154,Europe
1155,Europe
1156,Europe
1157,Europe
1158,Europe
1159,Europe
1160,Europe
1161,Europe
1162,Europe
1163,Europe
1164,Europe
1165,Europe
1166,Europe
1167,Europe
1168,Europe
1169,Europe
1170,Europe
1171,Europe
1172,Europe
1173,Europe
1174,Europe
1175,Europe
1176,Europe
1177,Europe
1178,Europe
1179,Europe
1180,Europe
1181,Europe
1182,Europe
1183,Europe
1184,Europe
1185,Europe
1186,Asia
1187,Asia
1188,Asia
1189,Asia
1190,Asia
1191,Asia
1192,Asia
1193,Asia
1194,Asia
1195,Asia
1196,Asia
1197,Asia
1198,Asia
1199,Asia
1200,Asia
1201,Asia
1202,Asia
1203,Asia
1204,Asia
1205,Asia
1206,Asia
1207,Asia
1208,Asia
1209,Asia
1210,Asia
1211,Asia
1212,Asia
1213,Asia
1214,Asia
1215,Asia
1216,Asia
1217,Asia
1218,Asia
1219,Asia
1220,Asia
1221,Asia
1222,Asia
1223,Asia
1224,Asia
1225,Asia
1226,Asia
1227,Asia
1228,Asia
1229,Asia
1230,Asia
1231,Asia
1232,Asia
1233,Asia
1234,Asia
1235,Asia
1236,Asia
1237,Asia
1238,Asia
1239,Asia
1240,Asia
1241,Asia
1242,Asia
1243,Asia
1244,Asia
1245,Asia
1246,Asia
1247,Asia
1248,Asia
1249,Asia
1250,Europe
1251,Europe
1252,Europe
1253,Europe
1254,Europe
1255,Europe
1256,Europe
1257,Europe
1258,Europe
1259,Europe
1260,Europe
1261,Europe
1262,Europe
1263,Europe
1264,Europe
1265,Europe
1266,Asia
1267,Asia
1268,Asia
1269,Asia
1270,Asia
1271,Asia
1272,Asia
1273,Asia
1274,Asia
1275,Asia
1276,Asia
1277,Asia
1278,Asia
1279,Asia
1280,Asia
1281,Asia
1282,Europe
1283,Europe
1284,Europe
1285,Europe
1286,Europe
1287,Europe
1288,Europe
1289,Europe
1290,Europe
1291,Europe
1292,Europe
1293,Europe
1294,Europe
1295,Europe
1296,Europe
1297,Europe
1298,North America
1299,North America
1300,North America
1301,North America
1302,North America
1303,North America
1304,North America
1305,North America
1306,North America
1307,North America
1308,North America
1309,North America
1310,North America
1311,North America
1312,North America
1313,North America
1314,Asia
1315,Asia
1316,Asia
1317,Asia
1318,Asia
1319,Asia
1320,Asia
1321,Asia
1322,Asia
1323,Asia
1324,Asia
1325,Asia
1326,Asia
1327,Asia
1328,Asia
1329,Asia
1330,Asia
1331,Asia
1332,Asia
1333,Asia
1334,Asia
1335,Asia
1336,Asia
1337,Asia
1338,Asia
1339,Asia
1340,Asia
1341,Asia
1342,Asia
1343,Asia
1344,Asia
1345,Asia
1346,Asia
1347,Asia
1348,Asia
1349,Asia
1350,Asia
1351,Asia
1352,Asia
1353,Asia
1354,Asia
1355,Asia
1356,Asia
1357,Asia
1358,Asia
1359,Asia
1360,Asia
1361,Asia
1362,Africa
1363,Africa
1364,Africa
1365,Africa
1366,Africa
1367,Africa
1368,Africa
1369,Africa
1370,Africa
1371,Africa
1372,Africa
1373,Africa
1374,Africa
1375,Africa
1376,Africa
1377,Africa
1378,Oceania
1379,Oceania
1380,Oceania
1381,Oceania
1382,Oceania
1383,Oceania
1384,Oceania
1385,Oceania
1386,Oceania
1387,Oceania
1388,Oceania
1389,Oceania
1390,Oceania
1391,Oceania
1392,Oceania
1393,Oceania
1394,Asia
1395,Asia
1396,Asia
1397,Asia
1398,Asia
1399,Asia
1400,Asia
1401,Asia
1402,Asia
1403,Asia
1404,Asia
1405,Asia
1406,Asia
1407,Asia
1408,Asia
1409,Asia
1410,Asia
1411,Asia
1412,Asia
1413,Asia
1414,Asia
1415,Asia
1416,Asia
1417,Asia
1418,Asia
1419,Asia
1420,Asia
1421,Asia
1422,Asia
1423,Asia
1424,Asia
1425,Asia
1426,Asia
1427,Asia
1428,Asia
1429,Asia
1430,Asia
1431,Asia
1432,Asia
1433,Asia
1434,Asia
1435,Asia
1436,Asia
1437,Asia
1438,Asia
1439,Asia
1440,Asia
1441,Asia
1442,Europe
1443,Europe
1444,Europe
1445,Europe
1446,Europe
1447,Europe
1448,Europe
1449,Europe
1450,Europe
1451,Europe
1452,Europe
1453,Europe
1454,Europe
1455,Europe
1456,Europe
1457,Europe
1458,Asia
1459,Asia
1460,Asia
1461,Asia
1462,Asia
1463,Asia
1464,Asia
1465,Asia
1466,Asia
1467,Asia
1468,Asia
1469,Asia
1470,Asia
1471,Asia
1472,Asia
1473,Asia
1474,Africa
1475,Africa
1476,Africa
1477,Africa
1478,Africa
1479,Africa
1480,Africa
1481,Africa
1482,Africa
1483,Africa
1484,Africa
1485,Africa
1486,Africa
1487,Africa
1488,Africa
1489,Africa
1490,Africa
1491,Africa
1492,Africa
1493,Africa
1494,Africa
1495,Africa
1496,Africa
1497,Africa
1498,Africa
1499,Africa
1500,Africa
1501,Africa
1502,Africa
1503,Africa
1504,Africa
1505,Africa
1506,Africa
1507,Africa
1508,Africa
1509,Africa
1510,Africa
1511,Africa
1512,Africa
1513,Africa
1514,Africa
1515,Africa
1516,Africa
1517,Africa
1518,Africa
1519,Africa
1520,Africa
1521,Africa
1522,Europe
1523,Europe
1524,Europe
1525,Europe
1526,Europe
1527,Europe
1528,Europe
1529,Europe
1530,Europe
1531,Europe
1532,Europe
1533,Europe
1534,Europe
1535,Europe
1536,Europe
1537,Europe
1538,Europe
1539,Europe
1540,Europe
1541,Europe
1542,Europe
1543,Europe
1544,Europe
1545,Europe
1546,Europe
1547,Europe
1548,Europe
1549,Europe
1550,Europe
1551,Europe
1552,Europe
1553,Europe
1554,Africa
1555,Africa
1556,Africa
1557,Africa
1558,Africa
1559,Africa
1560,Africa
1561,Africa
1562,Africa
1563,Africa
1564,Africa
1565,Africa
1566,Africa
1567,Africa
1568,Africa
1569,Africa
1570,Africa
1571,Africa
1572,Africa
1573,Africa
1574,Africa
1575,Africa
1576,Africa
1577,Africa
1578,Africa
1579,Africa
1580,Africa
1581,Africa
1582,Africa
1583,Africa
1584,Africa
1585,Africa
1586,Asia
1587,Asia
1588,Asia
1589,Asia
1590,Asia
1591,Asia
1592,Asia
1593,Asia
1594,Asia
1595,Asia
1596,Asia
1597,Asia
1598,Asia
1599,Asia
1600,Asia
1601,Asia
1602,Asia
1603,Asia
1604,Asia
1605,Asia
1606,Asia
1607,Asia
1608,Asia
1609,Asia
1610,Asia
1611,Asia
1612,Asia
1613,Asia
1614,Asia
1615,Asia
1616,Asia
1617,Asia
1618,Africa
1619,Africa
1620,Africa
1621,Africa
1622,Africa
1623,Africa
1624,Africa
1625,Africa
1626,Africa
1627,Africa
1628,Africa
1629,Africa
1630,Africa
1631,Africa
1632,Africa
1633,Africa
1634,Europe
1635,Europe
1636,Europe
1637,Europe
1638,Europe
1639,Europe
1640,Europe
1641,Europe
1642,Europe
1643,Europe
1644,Europe
1645,Europe
1646,Europe
1647,Europe
1648,Europe
1649,Europe
1650,Oceania
1651,Africa
1652,Africa
1653,Africa
1654,Africa
1655,Africa
1656,Africa
1657,Africa
1658,Africa
1659,Africa
1660,Africa
1661,Africa
1662,Africa
1663,Africa
1664,Africa
1665,Africa
1666,Africa
1667,Africa
1668,Africa
1669,Africa
1670,Africa
1671,Africa
1672,Africa
1673,Africa
1674,Africa
1675,Africa
1676,Africa
1677,Africa
1678,Africa
1679,Africa
1680,Africa
1681,Africa
1682,Africa
1683,North America
1684,North America
1685,North America
1686,North America
1687,North America
1688,North America
1689,North America
1690,North America
1691,North America
1692,North America
1693,North America
1694,North America
1695,North America
1696,North America
1697,North America
1698,North America
1699,Oceania
1700,Oceania
1701,Oceania
1702,Oceania
1703,Oceania
1704,Oceania
1705,Oceania
1706,Oceania
1707,Oceania
1708,Oceania
1709,Oceania
1710,Oceania
1711,Oceania
1712,Oceania
1713,Oceania
1714,Oceania
1715,Europe
1716,Asia
1717,Asia
1718,Asia
1719,Asia
1720,Asia
1721,Asia
1722,Asia
1723,Asia
1724,Asia
1725,Asia
1726,Asia
1727,Asia
1728,Asia
1729,Asia
1730,Asia
1731,Asia
1732,Europe
1733,Europe
1734,Europe
1735,Europe
1736,Europe
1737,Europe
1738,Europe
1739,Europe
1740,Europe
1741,Europe
1742,Europe
1743,Europe
1744,Europe
1745,Europe
1746,Europe
1747,Europe
1748,Africa
1749,Africa
1750,Africa
1751,Africa
1752,Africa
1753,Africa
1754,Africa
1755,Africa
1756,Africa
1757,Africa
1758,Africa
1759,Africa
1760,Africa
1761,Africa
1762,Africa
1763,Africa
1764,Africa
1765,Africa
1766,Africa
1767,Africa
1768,Africa
1769,Africa
1770,Africa
1771,Africa
1772,Africa
1773,Africa
1774,Africa
1775,Africa
1776,Africa
1777,Africa
1778,Africa
1779,Africa
1780,Asia
1781,Asia
1782,Asia
1783,Asia
1784,Asia
1785,Asia
1786,Asia
1787,Asia
1788,Asia
1789,Asia
1790,Asia
1791,Asia
1792,Asia
1793,Asia
1794,Asia
1795,Asia
1796,Africa
1797,Africa
1798,Africa
1799,Africa
1800,Africa
1801,Africa
1802,Africa
1803,Africa
1804,Africa
1805,Africa
1806,Africa
1807,Africa
1808,Africa
1809,Africa
1810,Africa
1811,Africa
1812,Oceania
1813,Asia
1814,Asia
1815,Asia
1816,Asia
1817,Asia
1818,Asia
1819,Asia
1820,Asia
1821,Asia
1822,Asia
1823,Asia
1824,Asia
1825,Asia
1826,Asia
1827,Asia
1828,Asia
1829,Europe
1830,Europe
1831,Europe
1832,Europe
1833,Europe
1834,Europe
1835,Europe
1836,Europe
1837,Europe
1838,Europe
1839,Europe
1840,Europe
1841,Europe
1842,Europe
1843,Europe
1844,Europe
1845,Oceania
1846,Oceania
1847,Oceania
1848,Oceania
1849,Oceania
1850,Oceania
1851,Oceania
1852,Oceania
1853,Oceania
1854,Oceania
1855,Oceania
1856,Oceania
1857,Oceania
1858,Oceania
1859,Oceania
1860,Oceania
1861,North America
1862,North America
1863,North America
1864,North America
1865,North America
1866,North America
1867,North America
1868,North America
1869,North America
1870,North America
1871,North America
1872,North America
1873,North America
1874,North America
1875,North America
1876,North America
1877,Africa
1878,Africa
1879,Africa
1880,Africa
1881,Africa
1882,Africa
1883,Africa
1884,Africa
1885,Africa
1886,Africa
1887,Africa
1888,Africa
1889,Africa
1890,Africa
1891,Africa
1892,Africa
1893,Africa
1894,Africa
1895,Africa
1896,Africa
1897,Africa
1898,Africa
1899,Africa
1900,Africa
1901,Africa
1902,Africa
1903,Africa
1904,Africa
1905,Africa
1906,Africa
1907,Africa
1908,Africa
1909,Oceania
1910,Europe
1911,Europe
